TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        4687.00000        8.45255
TAB:  US_Colorado_Arapahoe Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Colorado_Arapahoe 3/20/2020        58    4687       85      29       86     6    77 4/8/2020  
AAA1     1 US_Colorado_Arapahoe Confirmed cc1=  .983966 cc2=  .682454 lx=  4.45255 if=  48 il=  58 3/20/2020  n=  10 now=    4687 end=         85        29        86 U=     8.05 T=   58.7 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  48. x2=  58. y1=  1.32 y2=   .08 BEST
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .984656 cc2=  .682454 lx=  4.35255 if=  48 il=  58 3/20/2020  n=  10 now=    4687 end=         85        29        86 U=     8.05 T=   58.7 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  48. x2=  58. y1=  1.32 y2=   .08 BEST
GP: Confirmed US_Colorado_Arapahoe 3/20/2020        58    4687       85      29       86     6    77 4/8/2020  
AAA1     1 US_Colorado_Arapahoe Confirmed cc1=  .978715 cc2=  .662487 lx=  4.45255 if=  49 il=  58 3/20/2020  n=   9 now=    4687 end=         85        29        86 U=     7.98 T=   58.7 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  49. x2=  58. y1=  1.21 y2=   .08 BEST
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .979720 cc2=  .662487 lx=  4.35255 if=  49 il=  58 3/20/2020  n=   9 now=    4687 end=         85        29        86 U=     7.98 T=   58.7 p1= -98.2 p2=  5514.1 ed=    77 4/8/2020    x1=  49. x2=  58. y1=  1.21 y2=   .08 BEST
GP: Confirmed US_Colorado_Arapahoe 3/20/2020        58    4687       85      29       86     6    77 4/8/2020  
AAA1     1 US_Colorado_Arapahoe Confirmed cc1=  .970678 cc2=  .637345 lx=  4.45255 if=  50 il=  58 3/20/2020  n=   8 now=    4687 end=         85        29        86 U=     7.09 T=   58.6 p1= -98.2 p2=  5514.1 ed=    75 4/6/2020    x1=  50. x2=  58. y1=  1.21 y2=   .08 BEST
AAA2     1 US_Colorado_Arapahoe Confirmed cc1=  .972120 cc2=  .637345 lx=  4.35255 if=  50 il=  58 3/20/2020  n=   8 now=    4687 end=         85        29        86 U=     7.09 T=   58.6 p1= -98.2 p2=  5514.1 ed=    75 4/6/2020    x1=  50. x2=  58. y1=  1.21 y2=   .08 BEST
GP: Confirmed US_Colorado_Arapahoe 3/20/2020        58    4687       85      29       86     6    75 4/6/2020  
AAA1     1 US_Colorado_Arapahoe Confirmed cc1=  .978852 cc2=  .625299 lx=  4.45255 if=  51 il=  58 3/20/2020  n=   7 now=    4687 end=         85        29        86 U=     8.36 T=   58.7 p1= -98.2 p2=  5514.1 ed=    78 4/9/2020    x1=  51. x2=  58. y1=   .92 y2=   .08 BEST
