TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       40847.00000       10.61759
TAB:  Colombia Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed Colombia 3/16/2020        54   40847      748      54      754     2    79 4/10/2020 
AAA2     1 Colombia Confirmed cc1=  .981979 cc2=  .604014 lx=  8.45759 if=  48 il=  54 3/16/2020  n=   6 now=   40847 end=       4710        54       754 U=    12.03 T=   72.0 p1= -88.5 p2=   867.2 ed=   100 5/1/2020    x1=  48. x2=  54. y1=  2.00 y2=  1.50     
GP: Confirmed Colombia 3/16/2020        54   40847     4710      54      754     2   100 5/1/2020  
AAA2     1 Colombia Confirmed cc1=  .975611 cc2=  .567363 lx= 12.61759 if=  49 il=  54 3/16/2020  n=   5 now=   40847 end=     301820        54       754 U=    26.50 T=  111.1 p1= 638.9 p2=    13.5 ed=   173 7/13/2020   x1=  49. x2=  54. y1=  2.34 y2=  2.16     
GP: Confirmed Colombia 3/16/2020        54   40847    -          54      754     2   173 7/13/2020 
AAA2     1 Colombia Confirmed cc1=  .978233 cc2=  .689558 lx= 10.51759 if=  44 il=  55 3/17/2020  n=  11 now=   40847 end=      36959        65       754 U=    21.75 T=   95.2 p1=  -9.5 p2=   110.5 ed=   146 6/16/2020   x1=  44. x2=  55. y1=  2.35 y2=  1.85     
GP: Confirmed Colombia 3/17/2020        55   40847    36959      65      754     4   146 6/16/2020 
AAA2     1 Colombia Confirmed cc1=  .986034 cc2=  .684523 lx=  7.80759 if=  45 il=  55 3/17/2020  n=  10 now=   40847 end=       2459        65       754 U=    13.07 T=   71.9 p1= -94.0 p2=  1661.1 ed=   102 5/3/2020    x1=  45. x2=  55. y1=  2.06 y2=  1.29     
GP: Confirmed Colombia 3/17/2020        55   40847     2459      65      754     4   102 5/3/2020  
AAA1     1 Colombia Confirmed cc1=  .990402 cc2=  .674174 lx=  6.61759 if=  46 il=  55 3/17/2020  n=   9 now=   40847 end=        748        65       754 U=     9.03 T=   63.1 p1= -98.2 p2=  5460.8 ed=    84 4/15/2020   x1=  46. x2=  55. y1=  1.89 y2=   .89 BEST
AAA2     1 Colombia Confirmed cc1=  .990408 cc2=  .674174 lx=  6.52859 if=  46 il=  55 3/17/2020  n=   9 now=   40847 end=        748        65       754 U=     9.03 T=   63.1 p1= -98.2 p2=  5460.8 ed=    84 4/15/2020   x1=  46. x2=  55. y1=  1.89 y2=   .89 BEST
GP: Confirmed Colombia 3/17/2020        55   40847      748      65      754     4    84 4/15/2020 
AAA1     1 Colombia Confirmed cc1=  .989128 cc2=  .655794 lx=  6.61759 if=  47 il=  55 3/17/2020  n=   8 now=   40847 end=        748        65       754 U=     8.03 T=   62.2 p1= -98.2 p2=  5460.8 ed=    81 4/12/2020   x1=  47. x2=  55. y1=  1.89 y2=   .89 BEST
AAA2     1 Colombia Confirmed cc1=  .989266 cc2=  .655794 lx=  6.51759 if=  47 il=  55 3/17/2020  n=   8 now=   40847 end=        748        65       754 U=     8.03 T=   62.2 p1= -98.2 p2=  5460.8 ed=    81 4/12/2020   x1=  47. x2=  55. y1=  1.89 y2=   .89 BEST
GP: Confirmed Colombia 3/17/2020        55   40847      748      65      754     4    81 4/12/2020 
AAA1     1 Colombia Confirmed cc1=  .987500 cc2=  .633947 lx=  7.27759 if=  48 il=  55 3/17/2020  n=   7 now=   40847 end=       1447        65       754 U=    10.16 T=   66.5 p1= -96.5 p2=  2822.9 ed=    90 4/21/2020   x1=  48. x2=  55. y1=  1.82 y2=  1.13 BEST
AAA2     1 Colombia Confirmed cc1=  .987500 cc2=  .633947 lx=  7.28059 if=  48 il=  55 3/17/2020  n=   7 now=   40847 end=       1447        65       754 U=    10.16 T=   66.5 p1= -96.5 p2=  2822.9 ed=    90 4/21/2020   x1=  48. x2=  55. y1=  1.82 y2=  1.13 BEST
GP: Confirmed Colombia 3/17/2020        55   40847     1447      65      754     4    90 4/21/2020 
AAA2     1 Colombia Confirmed cc1=  .983937 cc2=  .605972 lx= 12.61759 if=  49 il=  55 3/17/2020  n=   6 now=   40847 end=     301820        65       754 U=    28.52 T=  115.8 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  49. x2=  55. y1=  2.34 y2=  2.13     
GP: Confirmed Colombia 3/17/2020        55   40847    -          65      754     4   183 7/23/2020 
AAA1     1 Colombia Confirmed cc1=  .995829 cc2=  .587580 lx=  7.13759 if=  50 il=  55 3/17/2020  n=   5 now=   40847 end=       1258        65       754 U=     9.78 T=   65.6 p1= -96.9 p2=  3247.0 ed=    88 4/19/2020   x1=  50. x2=  55. y1=  1.60 y2=  1.09 BEST
AAA2     1 Colombia Confirmed cc1=  .995829 cc2=  .587580 lx=  7.14159 if=  50 il=  55 3/17/2020  n=   5 now=   40847 end=       1258        65       754 U=     9.78 T=   65.6 p1= -96.9 p2=  3247.0 ed=    88 4/19/2020   x1=  50. x2=  55. y1=  1.60 y2=  1.09 BEST
GP: Confirmed Colombia 3/17/2020        55   40847     1258      65      754     4    88 4/19/2020 
