TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       14374.00000        9.57318
TAB:  US_Arizona_Maricopa Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374     7579       2    -         5   999 undefine  
AAA1     1 US_Arizona_Maricopa Confirmed cc1=  .738549 cc2=  .520331 lx= 11.40318 if=  28 il=  48 3/10/2020  n=  20 now=   14374 end=      89605         2     89616 U=   318.92 T=  804.2 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  28. x2=  48. y1=  2.43 y2=  2.37 BEST
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .738549 cc2=  .520331 lx= 11.42818 if=  28 il=  48 3/10/2020  n=  20 now=   14374 end=      89605         2     89616 U=   318.92 T=  804.2 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  28. x2=  48. y1=  2.43 y2=  2.37 BEST
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .750939 cc2=  .527332 lx= 10.84318 if=  29 il=  48 3/10/2020  n=  19 now=   14374 end=      51183         2     89616 U=   287.62 T=  714.6 p1= 256.1 p2=    28.1 ed=   999 undefine    x1=  29. x2=  48. y1=  2.38 y2=  2.32     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA1     1 US_Arizona_Maricopa Confirmed cc1=  .763763 cc2=  .534347 lx= 11.40318 if=  30 il=  48 3/10/2020  n=  18 now=   14374 end=      89605         2     89616 U=   287.03 T=  728.6 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  30. x2=  48. y1=  2.43 y2=  2.37 BEST
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .763763 cc2=  .534347 lx= 11.37318 if=  30 il=  48 3/10/2020  n=  18 now=   14374 end=      89605         2     89616 U=   287.03 T=  728.6 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  30. x2=  48. y1=  2.43 y2=  2.37 BEST
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .776991 cc2=  .541289 lx= 11.32318 if=  31 il=  48 3/10/2020  n=  17 now=   14374 end=      82716         2     89616 U=   269.12 T=  684.1 p1= 475.5 p2=    17.4 ed=   999 undefine    x1=  31. x2=  48. y1=  2.43 y2=  2.36     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA1     1 US_Arizona_Maricopa Confirmed cc1=  .790569 cc2=  .548034 lx= 11.40318 if=  32 il=  48 3/10/2020  n=  16 now=   14374 end=      89605         2     89616 U=   255.14 T=  653.0 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  32. x2=  48. y1=  2.43 y2=  2.37 BEST
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .790569 cc2=  .548034 lx= 11.41518 if=  32 il=  48 3/10/2020  n=  16 now=   14374 end=      89605         2     89616 U=   255.14 T=  653.0 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  32. x2=  48. y1=  2.43 y2=  2.37 BEST
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .804400 cc2=  .554400 lx= 11.27318 if=  33 il=  48 3/10/2020  n=  15 now=   14374 end=      78682         2     89616 U=   236.38 T=  605.6 p1= 447.4 p2=    18.3 ed=   999 undefine    x1=  33. x2=  48. y1=  2.42 y2=  2.36     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA1     1 US_Arizona_Maricopa Confirmed cc1=  .818317 cc2=  .560118 lx= 11.40318 if=  34 il=  48 3/10/2020  n=  14 now=   14374 end=      89605         2     89616 U=   223.25 T=  577.4 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  34. x2=  48. y1=  2.43 y2=  2.37 BEST
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .818317 cc2=  .560118 lx= 11.42818 if=  34 il=  48 3/10/2020  n=  14 now=   14374 end=      89605         2     89616 U=   223.25 T=  577.4 p1= 523.4 p2=    16.0 ed=   999 undefine    x1=  34. x2=  48. y1=  2.43 y2=  2.37 BEST
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
AAA2     1 US_Arizona_Maricopa Confirmed cc1=  .832050 cc2=  .564789 lx= 11.27318 if=  35 il=  48 3/10/2020  n=  13 now=   14374 end=      78682         2     89616 U=   204.86 T=  531.3 p1= 447.4 p2=    18.3 ed=   999 undefine    x1=  35. x2=  48. y1=  2.42 y2=  2.36     
GP: Confirmed US_Arizona_Maricopa 3/10/2020        48   14374    -           2    -         5   999 undefine  
