TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6849.00000        8.83186
TAB:  US_New_Jersey_Camden Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .952612 cc2=  .599059 lx= 10.83186 if=  52 il=  59 3/21/2020  n=   7 now=    6849 end=      50607        15       126 U=    31.59 T=  125.2 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  52. x2=  59. y1=  2.32 y2=  2.09     
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849    -          15      126     2   199 8/8/2020  
AAA1     1 US_New_Jersey_Camden Confirmed cc1=  .951376 cc2=  .573411 lx=  4.83186 if=  53 il=  59 3/21/2020  n=   6 now=    6849 end=        125        15       126 U=     8.99 T=   65.8 p1= -98.2 p2=  5479.2 ed=    86 4/17/2020   x1=  53. x2=  59. y1=  1.42 y2=   .75 BEST
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .951429 cc2=  .573411 lx=  4.73186 if=  53 il=  59 3/21/2020  n=   6 now=    6849 end=        125        15       126 U=     8.99 T=   65.8 p1= -98.2 p2=  5479.2 ed=    86 4/17/2020   x1=  53. x2=  59. y1=  1.42 y2=   .75 BEST
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849      125      15      126     2    86 4/17/2020 
AAA1     1 US_New_Jersey_Camden Confirmed cc1=  .929168 cc2=  .520919 lx=  4.83186 if=  54 il=  59 3/21/2020  n=   5 now=    6849 end=        125        15       126 U=     8.86 T=   65.7 p1= -98.2 p2=  5479.2 ed=    86 4/17/2020   x1=  54. x2=  59. y1=  1.32 y2=   .75 BEST
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .929471 cc2=  .520919 lx=  4.73186 if=  54 il=  59 3/21/2020  n=   5 now=    6849 end=        125        15       126 U=     8.86 T=   65.7 p1= -98.2 p2=  5479.2 ed=    86 4/17/2020   x1=  54. x2=  59. y1=  1.32 y2=   .75 BEST
GP: Confirmed US_New_Jersey_Camden 3/21/2020        59    6849      125      15      126     2    86 4/17/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .964869 cc2=  .687519 lx= 10.83186 if=  48 il=  60 3/22/2020  n=  12 now=    6849 end=      50607        22       126 U=    35.72 T=  133.1 p1= 638.9 p2=    13.5 ed=   217 8/26/2020   x1=  48. x2=  60. y1=  2.38 y2=  2.05     
GP: Confirmed US_New_Jersey_Camden 3/22/2020        60    6849    -          22      126     3   217 8/26/2020 
AAA2     1 US_New_Jersey_Camden Confirmed cc1=  .973168 cc2=  .684493 lx= 10.83186 if=  49 il=  60 3/22/2020  n=  11 now=    6849 end=      50607        22       126 U=    32.74 T=  127.0 p1= 638.9 p2=    13.5 ed=   204 8/13/2020   x1=  49. x2=  60. y1=  2.38 y2=  2.05     
GP: Confirmed US_New_Jersey_Camden 3/22/2020        60    6849    -          22      126     3   204 8/13/2020 
