TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3626.00000        8.19589
TAB:  US_Minnesota_Ramsey Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Minnesota_Ramsey 3/15/2020        53    3626    -           5       66     3   263 10/11/2020
AAA1     1 US_Minnesota_Ramsey Confirmed cc1=  .963543 cc2=  .609990 lx=  4.35589 if=  46 il=  53 3/15/2020  n=   7 now=    3626 end=         77         5        66 U=    15.18 T=   68.3 p1= -97.9 p2=  4709.1 ed=   104 5/5/2020    x1=  46. x2=  53. y1=  1.47 y2=  1.01 BEST
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .963543 cc2=  .609990 lx=  4.35189 if=  46 il=  53 3/15/2020  n=   7 now=    3626 end=         77         5        66 U=    15.18 T=   68.3 p1= -97.9 p2=  4709.1 ed=   104 5/5/2020    x1=  46. x2=  53. y1=  1.47 y2=  1.01 BEST
GP: Confirmed US_Minnesota_Ramsey 3/15/2020        53    3626       77       5       66     3   104 5/5/2020  
AAA1     1 US_Minnesota_Ramsey Confirmed cc1=  .970778 cc2=  .592814 lx=  4.19589 if=  47 il=  53 3/15/2020  n=   6 now=    3626 end=         66         5        66 U=    12.40 T=   64.8 p1= -98.2 p2=  5493.9 ed=    94 4/25/2020   x1=  47. x2=  53. y1=  1.43 y2=   .95 BEST
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .970895 cc2=  .592814 lx=  4.09589 if=  47 il=  53 3/15/2020  n=   6 now=    3626 end=         66         5        66 U=    12.40 T=   64.8 p1= -98.2 p2=  5493.9 ed=    94 4/25/2020   x1=  47. x2=  53. y1=  1.43 y2=   .95 BEST
GP: Confirmed US_Minnesota_Ramsey 3/15/2020        53    3626       66       5       66     3    94 4/25/2020 
AAA1     1 US_Minnesota_Ramsey Confirmed cc1=  .960655 cc2=  .552407 lx=  4.19589 if=  48 il=  53 3/15/2020  n=   5 now=    3626 end=         66         5        66 U=    10.33 T=   62.8 p1= -98.2 p2=  5493.9 ed=    87 4/18/2020   x1=  48. x2=  53. y1=  1.43 y2=   .95 BEST
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .960962 cc2=  .552407 lx=  4.09589 if=  48 il=  53 3/15/2020  n=   5 now=    3626 end=         66         5        66 U=    10.33 T=   62.8 p1= -98.2 p2=  5493.9 ed=    87 4/18/2020   x1=  48. x2=  53. y1=  1.43 y2=   .95 BEST
GP: Confirmed US_Minnesota_Ramsey 3/15/2020        53    3626       66       5       66     3    87 4/18/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .939327 cc2=  .637816 lx= 10.19589 if=  44 il=  54 3/16/2020  n=  10 now=    3626 end=      26792        10         0 U=    39.07 T=  134.7 p1= 638.9 p2=    13.5 ed=   226 9/4/2020    x1=  44. x2=  54. y1=  2.32 y2=  2.07     
GP: Confirmed US_Minnesota_Ramsey 3/16/2020        54    3626    -          10        0     0   226 9/4/2020  
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .955840 cc2=  .639612 lx= 10.19589 if=  45 il=  54 3/16/2020  n=   9 now=    3626 end=      26792        10         0 U=    35.16 T=  126.6 p1= 638.9 p2=    13.5 ed=   209 8/18/2020   x1=  45. x2=  54. y1=  2.32 y2=  2.07     
GP: Confirmed US_Minnesota_Ramsey 3/16/2020        54    3626    -          10        0     0   209 8/18/2020 
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .968792 cc2=  .635458 lx= 10.19589 if=  46 il=  54 3/16/2020  n=   8 now=    3626 end=      26792        10         0 U=    31.25 T=  118.6 p1= 638.9 p2=    13.5 ed=   192 8/1/2020    x1=  46. x2=  54. y1=  2.32 y2=  2.07     
GP: Confirmed US_Minnesota_Ramsey 3/16/2020        54    3626    -          10        0     0   192 8/1/2020  
AAA2     1 US_Minnesota_Ramsey Confirmed cc1=  .974731 cc2=  .621178 lx= 10.19589 if=  47 il=  54 3/16/2020  n=   7 now=    3626 end=      26792        10         0 U=    27.35 T=  110.5 p1= 638.9 p2=    13.5 ed=   175 7/15/2020   x1=  47. x2=  54. y1=  2.32 y2=  2.07     
GP: Confirmed US_Minnesota_Ramsey 3/16/2020        54    3626    -          10        0     0   175 7/15/2020 
