TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        3064.00000        8.02748
TAB:  US_Washington_Snohomish Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_Washington_Snohomish 3/8/2020         46    3064       86      31       55     1    58 3/20/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .986376 cc2=  .608411 lx=  4.12748 if=  40 il=  46 3/8/2020   n=   6 now=    3064 end=         62        31        55 U=     4.37 T=   44.4 p1= -98.0 p2=  4941.9 ed=    54 3/16/2020   x1=  40. x2=  46. y1=  1.01 y2=  -.37     
GP: Confirmed US_Washington_Snohomish 3/8/2020         46    3064       62      31       55     1    54 3/16/2020 
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .983747 cc2=  .575499 lx=  4.02748 if=  41 il=  46 3/8/2020   n=   5 now=    3064 end=         56        31        55 U=     3.77 T=   44.0 p1= -98.2 p2=  5471.4 ed=    52 3/14/2020   x1=  41. x2=  46. y1=   .80 y2=  -.52 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .984517 cc2=  .575499 lx=  3.92748 if=  41 il=  46 3/8/2020   n=   5 now=    3064 end=         56        31        55 U=     3.77 T=   44.0 p1= -98.2 p2=  5471.4 ed=    52 3/14/2020   x1=  41. x2=  46. y1=   .80 y2=  -.52 BEST
GP: Confirmed US_Washington_Snohomish 3/8/2020         46    3064       56      31       55     1    52 3/14/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .989400 cc2=  .673172 lx=  4.09748 if=  38 il=  47 3/9/2020   n=   9 now=    3064 end=         60        31        55 U=     4.94 T=   45.0 p1= -98.0 p2=  5106.7 ed=    56 3/18/2020   x1=  38. x2=  47. y1=  1.41 y2=  -.41     
GP: Confirmed US_Washington_Snohomish 3/9/2020         47    3064       60      31       55     4    56 3/18/2020 
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .986327 cc2=  .652994 lx=  4.02748 if=  39 il=  47 3/9/2020   n=   8 now=    3064 end=         56        31        55 U=     4.63 T=   44.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  39. x2=  47. y1=  1.20 y2=  -.52 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .986518 cc2=  .652994 lx=  3.92748 if=  39 il=  47 3/9/2020   n=   8 now=    3064 end=         56        31        55 U=     4.63 T=   44.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  39. x2=  47. y1=  1.20 y2=  -.52 BEST
GP: Confirmed US_Washington_Snohomish 3/9/2020         47    3064       56      31       55     4    55 3/17/2020 
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .981109 cc2=  .627556 lx=  4.02748 if=  40 il=  47 3/9/2020   n=   7 now=    3064 end=         56        31        55 U=     4.69 T=   44.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  40. x2=  47. y1=   .97 y2=  -.52 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .981945 cc2=  .627556 lx=  3.92748 if=  40 il=  47 3/9/2020   n=   7 now=    3064 end=         56        31        55 U=     4.69 T=   44.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  40. x2=  47. y1=   .97 y2=  -.52 BEST
GP: Confirmed US_Washington_Snohomish 3/9/2020         47    3064       56      31       55     4    55 3/17/2020 
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .973242 cc2=  .595278 lx=  4.02748 if=  41 il=  47 3/9/2020   n=   6 now=    3064 end=         56        31        55 U=     4.52 T=   44.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  41. x2=  47. y1=   .80 y2=  -.52 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .975201 cc2=  .595278 lx=  3.92748 if=  41 il=  47 3/9/2020   n=   6 now=    3064 end=         56        31        55 U=     4.52 T=   44.6 p1= -98.2 p2=  5471.4 ed=    55 3/17/2020   x1=  41. x2=  47. y1=   .80 y2=  -.52 BEST
GP: Confirmed US_Washington_Snohomish 3/9/2020         47    3064       56      31       55     4    55 3/17/2020 
AAA1     1 US_Washington_Snohomish Confirmed cc1=  .956924 cc2=  .548675 lx=  4.02748 if=  42 il=  47 3/9/2020   n=   5 now=    3064 end=         56        31        55 U=     4.21 T=   44.8 p1= -98.2 p2=  5471.4 ed=    54 3/16/2020   x1=  42. x2=  47. y1=   .67 y2=  -.52 BEST
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .960327 cc2=  .548675 lx=  3.92748 if=  42 il=  47 3/9/2020   n=   5 now=    3064 end=         56        31        55 U=     4.21 T=   44.8 p1= -98.2 p2=  5471.4 ed=    54 3/16/2020   x1=  42. x2=  47. y1=   .67 y2=  -.52 BEST
GP: Confirmed US_Washington_Snohomish 3/9/2020         47    3064       56      31       55     4    54 3/16/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .991916 cc2=  .690405 lx=  4.02748 if=  38 il=  48 3/10/2020  n=  10 now=    3064 end=         56        37         0 U=     4.41 T=   44.1 p1= -98.2 p2=  5471.4 ed=    54 3/16/2020   x1=  38. x2=  48. y1=  1.39 y2=  -.88     
GP: Confirmed US_Washington_Snohomish 3/10/2020        48    3064       56      37        0     0    54 3/16/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .989798 cc2=  .673570 lx=  4.02748 if=  39 il=  48 3/10/2020  n=   9 now=    3064 end=         56        37         0 U=     4.33 T=   44.2 p1= -98.2 p2=  5471.4 ed=    54 3/16/2020   x1=  39. x2=  48. y1=  1.20 y2=  -.88     
GP: Confirmed US_Washington_Snohomish 3/10/2020        48    3064       56      37        0     0    54 3/16/2020 
AAA2     1 US_Washington_Snohomish Confirmed cc1=  .986261 cc2=  .652927 lx=  4.02748 if=  40 il=  48 3/10/2020  n=   8 now=    3064 end=         56        37         0 U=     4.33 T=   44.2 p1= -98.2 p2=  5471.4 ed=    54 3/16/2020   x1=  40. x2=  48. y1=   .97 y2=  -.88     
GP: Confirmed US_Washington_Snohomish 3/10/2020        48    3064       56      37        0     0    54 3/16/2020 
