TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020       15271.00000        9.63371
TAB:  US_Massachusetts_Essex Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .991548 cc2=  .702873 lx= 11.63371 if=  49 il=  60 3/22/2020  n=  11 now=   15271 end=     112838        60      8744 U=    25.36 T=  111.2 p1= 638.9 p2=    13.5 ed=   171 7/11/2020   x1=  49. x2=  60. y1=  2.45 y2=  2.02     
GP: Confirmed US_Massachusetts_Essex 3/22/2020        60   15271    -          60     8744     1   171 7/11/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .989007 cc2=  .687495 lx= 11.63371 if=  50 il=  60 3/22/2020  n=  10 now=   15271 end=     112838        60      8744 U=    26.86 T=  114.3 p1= 638.9 p2=    13.5 ed=   177 7/17/2020   x1=  50. x2=  60. y1=  2.39 y2=  2.02     
GP: Confirmed US_Massachusetts_Essex 3/22/2020        60   15271    -          60     8744     1   177 7/17/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .988047 cc2=  .671820 lx= 11.63371 if=  51 il=  60 3/22/2020  n=   9 now=   15271 end=     112838        60      8744 U=    24.17 T=  108.8 p1= 638.9 p2=    13.5 ed=   165 7/5/2020    x1=  51. x2=  60. y1=  2.39 y2=  2.02     
GP: Confirmed US_Massachusetts_Essex 3/22/2020        60   15271    -          60     8744     1   165 7/5/2020  
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .984170 cc2=  .650837 lx= 11.63371 if=  52 il=  60 3/22/2020  n=   8 now=   15271 end=     112838        60      8744 U=    28.08 T=  116.7 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  52. x2=  60. y1=  2.31 y2=  2.02     
GP: Confirmed US_Massachusetts_Essex 3/22/2020        60   15271    -          60     8744     1   183 7/23/2020 
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .991695 cc2=  .638142 lx= 11.63371 if=  53 il=  60 3/22/2020  n=   7 now=   15271 end=     112838        60      8744 U=    24.57 T=  109.6 p1= 638.9 p2=    13.5 ed=   167 7/7/2020    x1=  53. x2=  60. y1=  2.31 y2=  2.02     
GP: Confirmed US_Massachusetts_Essex 3/22/2020        60   15271    -          60     8744     1   167 7/7/2020  
AAA2     1 US_Massachusetts_Essex Confirmed cc1=  .989780 cc2=  .611815 lx= 11.63371 if=  54 il=  60 3/22/2020  n=   6 now=   15271 end=     112838        60      8744 U=    25.33 T=  111.2 p1= 638.9 p2=    13.5 ed=   170 7/10/2020   x1=  54. x2=  60. y1=  2.26 y2=  2.02     
GP: Confirmed US_Massachusetts_Essex 3/22/2020        60   15271    -          60     8744     1   170 7/10/2020 
