TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      142759.00000       11.86891
TAB:  Chile Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed Chile 3/13/2020        51  142759    -          43     2637     1   183 7/23/2020 
AAA2     1 Chile Confirmed cc1=  .968136 cc2=  .559887 lx= 13.86891 if=  46 il=  51 3/13/2020  n=   5 now=  142759 end=    1054854        43      2637 U=    32.49 T=  126.2 p1= 638.9 p2=    13.5 ed=   202 8/11/2020   x1=  46. x2=  51. y1=  2.47 y2=  2.31     
GP: Confirmed Chile 3/13/2020        51  142759    -          43     2637     1   202 8/11/2020 
AAA2     1 Chile Confirmed cc1=  .982827 cc2=  .694152 lx= 12.75891 if=  41 il=  52 3/14/2020  n=  11 now=  142759 end=     347636        61     60654 U=    28.29 T=  113.0 p1= 143.5 p2=    41.1 ed=   179 7/19/2020   x1=  41. x2=  52. y1=  2.55 y2=  2.16     
GP: Confirmed Chile 3/14/2020        52  142759   347636      61    60654     1   179 7/19/2020 
AAA1     1 Chile Confirmed cc1=  .978087 cc2=  .676576 lx= 11.00891 if=  42 il=  52 3/14/2020  n=  10 now=  142759 end=      60410        61     60654 U=    21.39 T=   93.3 p1= -57.7 p2=   236.3 ed=   143 6/13/2020   x1=  42. x2=  52. y1=  2.40 y2=  1.93 BEST
AAA2     1 Chile Confirmed cc1=  .978087 cc2=  .676576 lx= 11.00791 if=  42 il=  52 3/14/2020  n=  10 now=  142759 end=      60410        61     60654 U=    21.39 T=   93.3 p1= -57.7 p2=   236.3 ed=   143 6/13/2020   x1=  42. x2=  52. y1=  2.40 y2=  1.93 BEST
GP: Confirmed Chile 3/14/2020        52  142759    60410      61    60654     1   143 6/13/2020 
AAA2     1 Chile Confirmed cc1=  .975487 cc2=  .659260 lx= 13.86891 if=  43 il=  52 3/14/2020  n=   9 now=  142759 end=    1054854        61     60654 U=    36.55 T=  135.3 p1= 638.9 p2=    13.5 ed=   221 8/30/2020   x1=  43. x2=  52. y1=  2.52 y2=  2.28     
GP: Confirmed Chile 3/14/2020        52  142759    -          61    60654     1   221 8/30/2020 
AAA2     1 Chile Confirmed cc1=  .984885 cc2=  .651551 lx= 13.86891 if=  44 il=  52 3/14/2020  n=   8 now=  142759 end=    1054854        61     60654 U=    32.49 T=  126.0 p1= 638.9 p2=    13.5 ed=   202 8/11/2020   x1=  44. x2=  52. y1=  2.52 y2=  2.28     
GP: Confirmed Chile 3/14/2020        52  142759    -          61    60654     1   202 8/11/2020 
AAA2     1 Chile Confirmed cc1=  .986543 cc2=  .632990 lx= 13.86891 if=  45 il=  52 3/14/2020  n=   7 now=  142759 end=    1054854        61     60654 U=    28.43 T=  116.8 p1= 638.9 p2=    13.5 ed=   183 7/23/2020   x1=  45. x2=  52. y1=  2.52 y2=  2.28     
GP: Confirmed Chile 3/14/2020        52  142759    -          61    60654     1   183 7/23/2020 
AAA2     1 Chile Confirmed cc1=  .979755 cc2=  .601790 lx= 13.86891 if=  46 il=  52 3/14/2020  n=   6 now=  142759 end=    1054854        61     60654 U=    31.73 T=  124.3 p1= 638.9 p2=    13.5 ed=   199 8/8/2020    x1=  46. x2=  52. y1=  2.47 y2=  2.28     
GP: Confirmed Chile 3/14/2020        52  142759    -          61    60654     1   199 8/8/2020  
AAA2     1 Chile Confirmed cc1=  .985192 cc2=  .576944 lx= 13.68891 if=  47 il=  52 3/14/2020  n=   5 now=  142759 end=     881088        61     60654 U=    25.99 T=  110.7 p1= 517.2 p2=    16.2 ed=   172 7/12/2020   x1=  47. x2=  52. y1=  2.45 y2=  2.26     
GP: Confirmed Chile 3/14/2020        52  142759    -          61    60654     1   172 7/12/2020 
AAA2     1 Chile Confirmed cc1=  .986516 cc2=  .709166 lx= 12.26891 if=  41 il=  53 3/15/2020  n=  12 now=  142759 end=     212971        74      2637 U=    27.78 T=  110.6 p1=  49.2 p2=    67.0 ed=   176 7/16/2020   x1=  41. x2=  53. y1=  2.51 y2=  2.08     
GP: Confirmed Chile 3/15/2020        53  142759   212971      74     2637     2   176 7/16/2020 
AAA2     1 Chile Confirmed cc1=  .983180 cc2=  .694505 lx= 10.77891 if=  42 il=  53 3/15/2020  n=  11 now=  142759 end=      47997        74      2637 U=    21.58 T=   93.3 p1= -66.4 p2=   297.4 ed=   144 6/14/2020   x1=  42. x2=  53. y1=  2.38 y2=  1.87     
GP: Confirmed Chile 3/15/2020        53  142759    47997      74     2637     2   144 6/14/2020 
AAA2     1 Chile Confirmed cc1=  .981662 cc2=  .680151 lx= 13.86891 if=  43 il=  53 3/15/2020  n=  10 now=  142759 end=    1054854        74      2637 U=    37.56 T=  137.8 p1= 638.9 p2=    13.5 ed=   226 9/4/2020    x1=  43. x2=  53. y1=  2.52 y2=  2.26     
GP: Confirmed Chile 3/15/2020        53  142759    -          74     2637     2   226 9/4/2020  
AAA2     1 Chile Confirmed cc1=  .988934 cc2=  .672706 lx= 13.86891 if=  44 il=  53 3/15/2020  n=   9 now=  142759 end=    1054854        74      2637 U=    33.80 T=  129.3 p1= 638.9 p2=    13.5 ed=   209 8/18/2020   x1=  44. x2=  53. y1=  2.52 y2=  2.26     
GP: Confirmed Chile 3/15/2020        53  142759    -          74     2637     2   209 8/18/2020 
AAA2     1 Chile Confirmed cc1=  .990059 cc2=  .656725 lx= 13.86891 if=  45 il=  53 3/15/2020  n=   8 now=  142759 end=    1054854        74      2637 U=    30.05 T=  120.9 p1= 638.9 p2=    13.5 ed=   191 7/31/2020   x1=  45. x2=  53. y1=  2.52 y2=  2.26     
GP: Confirmed Chile 3/15/2020        53  142759    -          74     2637     2   191 7/31/2020 
