TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020      207693.00000       12.24382
TAB:  US_New_York_NYC Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693    92393     162    95915     1   115 5/16/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .971086 cc2=  .637753 lx= 14.24382 if=  43 il=  51 3/13/2020  n=   8 now=  207693 end=    1534655       162     95915 U=    23.56 T=  103.2 p1= 638.9 p2=    13.5 ed=   158 6/28/2020   x1=  43. x2=  51. y1=  2.55 y2=  2.21     
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693    -         162    95915     1   158 6/28/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .959506 cc2=  .605953 lx= 14.24382 if=  44 il=  51 3/13/2020  n=   7 now=  207693 end=    1534655       162     95915 U=    27.18 T=  111.2 p1= 638.9 p2=    13.5 ed=   175 7/15/2020   x1=  44. x2=  51. y1=  2.47 y2=  2.21     
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693    -         162    95915     1   175 7/15/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .980470 cc2=  .602506 lx= 14.24382 if=  45 il=  51 3/13/2020  n=   6 now=  207693 end=    1534655       162     95915 U=    23.30 T=  102.6 p1= 638.9 p2=    13.5 ed=   157 6/27/2020   x1=  45. x2=  51. y1=  2.47 y2=  2.21     
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693    -         162    95915     1   157 6/27/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .992027 cc2=  .583778 lx= 14.24382 if=  46 il=  51 3/13/2020  n=   5 now=  207693 end=    1534655       162     95915 U=    19.99 T=   95.3 p1= 638.9 p2=    13.5 ed=   142 6/12/2020   x1=  46. x2=  51. y1=  2.46 y2=  2.21     
GP: Confirmed US_New_York_NYC 3/13/2020        51  207693    -         162    95915     1   142 6/12/2020 
AAA2     1 US_New_York_NYC Confirmed cc1=  .983540 cc2=  .706190 lx= 14.24382 if=  40 il=  52 3/14/2020  n=  12 now=  207693 end=    1534655       283         0 U=    23.77 T=  103.2 p1= 638.9 p2=    13.5 ed=   159 6/29/2020   x1=  40. x2=  52. y1=  2.66 y2=  2.15     
GP: Confirmed US_New_York_NYC 3/14/2020        52  207693    -         283        0     0   159 6/29/2020 
