TEST last_day=  735 method= last 
MH:     0 Country_Region                                            142 Case_Typ         nCases nDeaths 1/23/20 1/24/20 1/25/20  6/7/20  6/8/20  6/9/20
ML aaa nday1  139 6/9/2020        6595.00000        8.79407
TAB:  US_New_York_Erie Confirmed Date   Day     Real      MAX  Predict    Count      Min      Max      Med
AAA2     1 US_New_York_Erie Confirmed cc1=  .993805 cc2=  .705130 lx=  6.22407 if=  52 il=  63 3/25/2020  n=  11 now=    6595 end=        504       122       365 U=     8.57 T=   66.0 p1= -92.4 p2=  1308.5 ed=    86 4/17/2020   x1=  52. x2=  63. y1=  1.63 y2=   .35     
GP: Confirmed US_New_York_Erie 3/25/2020        63    6595      504     122      365     2    86 4/17/2020 
AAA1     1 US_New_York_Erie Confirmed cc1=  .993845 cc2=  .692334 lx=  5.95407 if=  53 il=  63 3/25/2020  n=  10 now=    6595 end=        385       122       365 U=     6.94 T=   64.0 p1= -94.2 p2=  1713.0 ed=    80 4/11/2020   x1=  53. x2=  63. y1=  1.58 y2=   .14 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .993845 cc2=  .692334 lx=  5.95107 if=  53 il=  63 3/25/2020  n=  10 now=    6595 end=        385       122       365 U=     6.94 T=   64.0 p1= -94.2 p2=  1713.0 ed=    80 4/11/2020   x1=  53. x2=  63. y1=  1.58 y2=   .14 BEST
GP: Confirmed US_New_York_Erie 3/25/2020        63    6595      385     122      365     2    80 4/11/2020 
AAA1     1 US_New_York_Erie Confirmed cc1=  .992305 cc2=  .676077 lx=  6.18407 if=  54 il=  63 3/25/2020  n=   9 now=    6595 end=        484       122       365 U=     8.02 T=   65.6 p1= -92.7 p2=  1362.6 ed=    84 4/15/2020   x1=  54. x2=  63. y1=  1.44 y2=   .32 BEST
AAA2     1 US_New_York_Erie Confirmed cc1=  .992305 cc2=  .676077 lx=  6.18407 if=  54 il=  63 3/25/2020  n=   9 now=    6595 end=        484       122       365 U=     8.02 T=   65.6 p1= -92.7 p2=  1362.6 ed=    84 4/15/2020   x1=  54. x2=  63. y1=  1.44 y2=   .32 BEST
GP: Confirmed US_New_York_Erie 3/25/2020        63    6595      484     122      365     2    84 4/15/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .989415 cc2=  .656082 lx=  6.22407 if=  55 il=  63 3/25/2020  n=   8 now=    6595 end=        504       122       365 U=     8.07 T=   65.8 p1= -92.4 p2=  1308.5 ed=    84 4/15/2020   x1=  55. x2=  63. y1=  1.34 y2=   .35     
GP: Confirmed US_New_York_Erie 3/25/2020        63    6595      504     122      365     2    84 4/15/2020 
AAA2     1 US_New_York_Erie Confirmed cc1=  .985996 cc2=  .632443 lx=  7.09407 if=  56 il=  63 3/25/2020  n=   7 now=    6595 end=       1204       122       365 U=    12.03 T=   73.0 p1= -81.7 p2=   547.8 ed=   101 5/2/2020    x1=  56. x2=  63. y1=  1.41 y2=   .83     
GP: Confirmed US_New_York_Erie 3/25/2020        63    6595     1204     122      365     2   101 5/2/2020  
